Time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Characteristic Time,Heat Loss to Room,Room Temperature,Teacup Temperature
0.0,30,0,0.125,0.125,10,11.0,70,180.0
0.125,30,0,0.125,0.125,10,10.8625,70,178.625
0.25,30,0,0.125,0.125,10,10.72671875,70,177.2671875
0.375,30,0,0.125,0.125,10,10.592634765625002,70,175.92634765625002
0.5,30,0,0.125,0.125,10,10.460226831054689,70,174.6022683105469
0.625,30,0,0.125,0.125,10,10.329473995666504,70,173.29473995666504
0.75,30,0,0.125,0.125,10,10.20035557072067,70,172.00355570720671
0.875,30,0,0.125,0.125,10,10.072851126086665,70,170.72851126086664
1.0,30,0,0.125,0.125,10,9.946940487010583,70,169.46940487010582
1.125,30,0,0.125,0.125,10,9.82260373092295,70,168.2260373092295
1.25,30,0,0.125,0.125,10,9.699821184286412,70,166.99821184286412
1.375,30,0,0.125,0.125,10,9.578573419482831,70,165.7857341948283
1.5,30,0,0.125,0.125,10,9.458841251739296,70,164.58841251739295
1.625,30,0,0.125,0.125,10,9.340605736092552,70,163.40605736092553
1.75,30,0,0.125,0.125,10,9.223848164391395,70,162.23848164391396
1.875,30,0,0.125,0.125,10,9.108550062336501,70,161.08550062336502
2.0,30,0,0.125,0.125,10,8.994693186557296,70,159.94693186557296
2.125,30,0,0.125,0.125,10,8.88225952172533,70,158.8225952172533
2.25,30,0,0.125,0.125,10,8.771231277703766,70,157.71231277703765
2.375,30,0,0.125,0.125,10,8.66159088673247,70,156.6159088673247
2.5,30,0,0.125,0.125,10,8.553321000648314,70,155.53321000648313
2.625,30,0,0.125,0.125,10,8.446404488140208,70,154.4640448814021
2.75,30,0,0.125,0.125,10,8.340824432038456,70,153.40824432038457
2.875,30,0,0.125,0.125,10,8.236564126637976,70,152.36564126637975
3.0,30,0,0.125,0.125,10,8.133607075055,70,151.33607075055
3.125,30,0,0.125,0.125,10,8.031936986616813,70,150.31936986616813
3.25,30,0,0.125,0.125,10,7.931537774284104,70,149.31537774284104
3.375,30,0,0.125,0.125,10,7.832393552105552,70,148.32393552105552
3.5,30,0,0.125,0.125,10,7.734488632704233,70,147.34488632704233
3.625,30,0,0.125,0.125,10,7.637807524795432,70,146.3780752479543
3.75,30,0,0.125,0.125,10,7.54233493073549,70,145.4233493073549
3.875,30,0,0.125,0.125,10,7.448055744101296,70,144.48055744101296
4.0,30,0,0.125,0.125,10,7.354955047300029,70,143.5495504730003
4.125,30,0,0.125,0.125,10,7.263018109208778,70,142.63018109208778
4.25,30,0,0.125,0.125,10,7.172230382843668,70,141.72230382843668
4.375,30,0,0.125,0.125,10,7.082577503058121,70,140.8257750305812
4.5,30,0,0.125,0.125,10,6.994045284269896,70,139.94045284269896
4.625,30,0,0.125,0.125,10,6.906619718216521,70,139.0661971821652
4.75,30,0,0.125,0.125,10,6.820286971738815,70,138.20286971738815
4.875,30,0,0.125,0.125,10,6.7350333845920805,70,137.3503338459208
5.0,30,0,0.125,0.125,10,6.65084546728468,70,136.5084546728468
5.125,30,0,0.125,0.125,10,6.567709898943622,70,135.67709898943622
5.25,30,0,0.125,0.125,10,6.485613525206827,70,134.85613525206827
5.375,30,0,0.125,0.125,10,6.404543356141741,70,134.0454335614174
5.5,30,0,0.125,0.125,10,6.324486564189971,70,133.2448656418997
5.625,30,0,0.125,0.125,10,6.245430482137595,70,132.45430482137596
5.75,30,0,0.125,0.125,10,6.1673626011108755,70,131.67362601110875
5.875,30,0,0.125,0.125,10,6.090270568596989,70,130.9027056859699
6.0,30,0,0.125,0.125,10,6.0141421864895275,70,130.14142186489528
6.125,30,0,0.125,0.125,10,5.938965409158408,70,129.38965409158408
6.25,30,0,0.125,0.125,10,5.864728341543929,70,128.6472834154393
6.375,30,0,0.125,0.125,10,5.79141923727463,70,127.9141923727463
6.5,30,0,0.125,0.125,10,5.719026496808697,70,127.19026496808696
6.625,30,0,0.125,0.125,10,5.647538665598587,70,126.47538665598587
6.75,30,0,0.125,0.125,10,5.576944432278604,70,125.76944432278604
6.875,30,0,0.125,0.125,10,5.507232626875121,70,125.07232626875121
7.0,30,0,0.125,0.125,10,5.438392219039183,70,124.38392219039183
7.125,30,0,0.125,0.125,10,5.370412316301193,70,123.70412316301193
7.25,30,0,0.125,0.125,10,5.303282162347427,70,123.03282162347428
7.375,30,0,0.125,0.125,10,5.236991135318085,70,122.36991135318085
7.5,30,0,0.125,0.125,10,5.171528746126609,70,121.71528746126609
7.625,30,0,0.125,0.125,10,5.106884636800027,70,121.06884636800027
7.75,30,0,0.125,0.125,10,5.043048578840026,70,120.43048578840026
7.875,30,0,0.125,0.125,10,4.980010471604525,70,119.80010471604525
8.0,30,0,0.125,0.125,10,4.917760340709469,70,119.1776034070947
8.125,30,0,0.125,0.125,10,4.856288336450601,70,118.562883364506
8.25,30,0,0.125,0.125,10,4.7955847322449685,70,117.95584732244969
8.375,30,0,0.125,0.125,10,4.735639923091907,70,117.35639923091907
8.5,30,0,0.125,0.125,10,4.676444424053258,70,116.76444424053258
8.625,30,0,0.125,0.125,10,4.617988868752593,70,116.17988868752593
8.75,30,0,0.125,0.125,10,4.560264007893186,70,115.60264007893186
8.875,30,0,0.125,0.125,10,4.50326070779452,70,115.0326070779452
9.0,30,0,0.125,0.125,10,4.446969948947088,70,114.46969948947088
9.125,30,0,0.125,0.125,10,4.39138282458525,70,113.9138282458525
9.25,30,0,0.125,0.125,10,4.336490539277935,70,113.36490539277935
9.375,30,0,0.125,0.125,10,4.28228440753696,70,112.8228440753696
9.5,30,0,0.125,0.125,10,4.228755852442748,70,112.28755852442748
9.625,30,0,0.125,0.125,10,4.175896404287213,70,111.75896404287214
9.75,30,0,0.125,0.125,10,4.123697699233624,70,111.23697699233624
9.875,30,0,0.125,0.125,10,4.072151477993204,70,110.72151477993204
10.0,30,0,0.125,0.125,10,4.021249584518289,70,110.21249584518289
10.125,30,0,0.125,0.125,10,3.9709839647118104,70,109.7098396471181
10.25,30,0,0.125,0.125,10,3.921346665152913,70,109.21346665152913
10.375,30,0,0.125,0.125,10,3.8723298318385018,70,108.72329831838502
10.5,30,0,0.125,0.125,10,3.82392570894052,70,108.2392570894052
10.625,30,0,0.125,0.125,10,3.776126637578764,70,107.76126637578764
10.75,30,0,0.125,0.125,10,3.72892505460903,70,107.2892505460903
10.875,30,0,0.125,0.125,10,3.6823134914264175,70,106.82313491426417
11.0,30,0,0.125,0.125,10,3.6362845727835875,70,106.36284572783588
11.125,30,0,0.125,0.125,10,3.590831015623793,70,105.90831015623793
11.25,30,0,0.125,0.125,10,3.545945627928495,70,105.45945627928495
11.375,30,0,0.125,0.125,10,3.5016213075793887,70,105.01621307579389
11.5,30,0,0.125,0.125,10,3.457851041234646,70,104.57851041234646
11.625,30,0,0.125,0.125,10,3.4146279032192126,70,104.14627903219213
11.75,30,0,0.125,0.125,10,3.3719450544289726,70,103.71945054428973
11.875,30,0,0.125,0.125,10,3.329795741248611,70,103.29795741248611
12.0,30,0,0.125,0.125,10,3.2881732944830033,70,102.88173294483003
12.125,30,0,0.125,0.125,10,3.2470711283019655,70,102.47071128301965
12.25,30,0,0.125,0.125,10,3.206482739198191,70,102.06482739198191
12.375,30,0,0.125,0.125,10,3.1664017049582127,70,101.66401704958213
12.5,30,0,0.125,0.125,10,3.1268216836462357,70,101.26821683646236
12.625,30,0,0.125,0.125,10,3.087736412600658,70,100.87736412600658
12.75,30,0,0.125,0.125,10,3.0491397074431505,70,100.4913970744315
12.875,30,0,0.125,0.125,10,3.011025461100111,70,100.11025461100111
13.0,30,0,0.125,0.125,10,2.97338764283636,70,99.7338764283636
13.125,30,0,0.125,0.125,10,2.936220297300906,70,99.36220297300906
13.25,30,0,0.125,0.125,10,2.8995175435846448,70,98.99517543584645
13.375,30,0,0.125,0.125,10,2.863273574289836,70,98.63273574289836
13.5,30,0,0.125,0.125,10,2.827482654611214,70,98.27482654611214
13.625,30,0,0.125,0.125,10,2.7921391214285736,70,97.92139121428573
13.75,30,0,0.125,0.125,10,2.757237382410716,70,97.57237382410716
13.875,30,0,0.125,0.125,10,2.722771915130582,70,97.22771915130582
14.0,30,0,0.125,0.125,10,2.68873726619145,70,96.8873726619145
14.125,30,0,0.125,0.125,10,2.655128050364057,70,96.55128050364057
14.25,30,0,0.125,0.125,10,2.6219389497345063,70,96.21938949734506
14.375,30,0,0.125,0.125,10,2.589164712862825,70,95.89164712862825
14.5,30,0,0.125,0.125,10,2.5568001539520395,70,95.5680015395204
14.625,30,0,0.125,0.125,10,2.5248401520276387,70,95.24840152027639
14.75,30,0,0.125,0.125,10,2.493279650127293,70,94.93279650127293
14.875,30,0,0.125,0.125,10,2.462113654500702,70,94.62113654500702
15.0,30,0,0.125,0.125,10,2.4313372338194426,70,94.31337233819443
15.125,30,0,0.125,0.125,10,2.400945518396699,70,94.00945518396699
15.25,30,0,0.125,0.125,10,2.37093369941674,70,93.7093369941674
15.375,30,0,0.125,0.125,10,2.3412970281740315,70,93.41297028174031
15.5,30,0,0.125,0.125,10,2.312030815321856,70,93.12030815321856
15.625,30,0,0.125,0.125,10,2.2831304301303335,70,92.83130430130333
15.75,30,0,0.125,0.125,10,2.2545912997537045,70,92.54591299753704
15.875,30,0,0.125,0.125,10,2.2264089085067837,70,92.26408908506784
16.0,30,0,0.125,0.125,10,2.198578797150449,70,91.9857879715045
16.125,30,0,0.125,0.125,10,2.171096562186068,70,91.71096562186068
16.25,30,0,0.125,0.125,10,2.1439578551587415,70,91.43957855158742
16.375,30,0,0.125,0.125,10,2.117158381969257,70,91.17158381969257
16.5,30,0,0.125,0.125,10,2.0906939021946416,70,90.90693902194641
16.625,30,0,0.125,0.125,10,2.0645602284172084,70,90.64560228417209
16.75,30,0,0.125,0.125,10,2.038753225561993,70,90.38753225561993
16.875,30,0,0.125,0.125,10,2.013268810242468,70,90.13268810242468
17.0,30,0,0.125,0.125,10,1.988102950114437,70,89.88102950114437
17.125,30,0,0.125,0.125,10,1.963251663238006,70,89.63251663238006
17.25,30,0,0.125,0.125,10,1.938711017447531,70,89.38711017447531
17.375,30,0,0.125,0.125,10,1.914477129729437,70,89.14477129729437
17.5,30,0,0.125,0.125,10,1.8905461656078189,70,88.90546165607819
17.625,30,0,0.125,0.125,10,1.8669143385377212,70,88.66914338537721
17.75,30,0,0.125,0.125,10,1.8435779093059992,70,88.43577909305999
17.875,30,0,0.125,0.125,10,1.8205331854396747,70,88.20533185439675
18.0,30,0,0.125,0.125,10,1.7977765206216787,70,87.97776520621679
18.125,30,0,0.125,0.125,10,1.7753043141139073,70,87.75304314113907
18.25,30,0,0.125,0.125,10,1.7531130101874837,70,87.53113010187484
18.375,30,0,0.125,0.125,10,1.7311990975601403,70,87.3119909756014
18.5,30,0,0.125,0.125,10,1.7095591088406379,70,87.09559108840638
18.625,30,0,0.125,0.125,10,1.6881896199801303,70,86.8818961998013
18.75,30,0,0.125,0.125,10,1.667087249730379,70,86.67087249730379
18.875,30,0,0.125,0.125,10,1.6462486591087497,70,86.4624865910875
19.0,30,0,0.125,0.125,10,1.62567055086989,70,86.2567055086989
19.125,30,0,0.125,0.125,10,1.6053496689840159,70,86.05349668984016
19.25,30,0,0.125,0.125,10,1.5852827981217161,70,85.85282798121716
19.375,30,0,0.125,0.125,10,1.5654667631451944,70,85.65466763145194
19.5,30,0,0.125,0.125,10,1.5458984286058794,70,85.4589842860588
19.625,30,0,0.125,0.125,10,1.5265746982483066,70,85.26574698248307
19.75,30,0,0.125,0.125,10,1.507492514520203,70,85.07492514520203
19.875,30,0,0.125,0.125,10,1.4886488580887005,70,84.886488580887
20.0,30,0,0.125,0.125,10,1.4700407473625916,70,84.70040747362592
20.125,30,0,0.125,0.125,10,1.4516652380205586,70,84.51665238020558
20.25,30,0,0.125,0.125,10,1.433519422545301,70,84.33519422545301
20.375,30,0,0.125,0.125,10,1.4156004297634852,70,84.15600429763485
20.5,30,0,0.125,0.125,10,1.397905424391442,70,83.97905424391442
20.625,30,0,0.125,0.125,10,1.3804316065865492,70,83.80431606586549
20.75,30,0,0.125,0.125,10,1.3631762115042179,70,83.63176211504218
20.875,30,0,0.125,0.125,10,1.3461365088604154,70,83.46136508860415
21.0,30,0,0.125,0.125,10,1.3293098024996595,70,83.2930980249966
21.125,30,0,0.125,0.125,10,1.3126934299684136,70,83.12693429968414
21.25,30,0,0.125,0.125,10,1.2962847620938092,70,82.96284762093809
21.375,30,0,0.125,0.125,10,1.2800812025676365,70,82.80081202567636
21.5,30,0,0.125,0.125,10,1.2640801875355407,70,82.64080187535541
21.625,30,0,0.125,0.125,10,1.2482791851913462,70,82.48279185191346
21.75,30,0,0.125,0.125,10,1.2326756953764544,70,82.32675695376454
21.875,30,0,0.125,0.125,10,1.2172672491842491,70,82.17267249184249
22.0,30,0,0.125,0.125,10,1.2020514085694458,70,82.02051408569446
22.125,30,0,0.125,0.125,10,1.1870257659623278,70,81.87025765962328
22.25,30,0,0.125,0.125,10,1.1721879438877991,70,81.72187943887799
22.375,30,0,0.125,0.125,10,1.1575355945892014,70,81.57535594589201
22.5,30,0,0.125,0.125,10,1.143066399656837,70,81.43066399656837
22.625,30,0,0.125,0.125,10,1.1287780696611265,70,81.28778069661126
22.75,30,0,0.125,0.125,10,1.114668343790362,70,81.14668343790362
22.875,30,0,0.125,0.125,10,1.1007349894929817,70,81.00734989492982
23.0,30,0,0.125,0.125,10,1.08697580212432,70,80.8697580212432
23.125,30,0,0.125,0.125,10,1.0733886045977656,70,80.73388604597766
23.25,30,0,0.125,0.125,10,1.0599712470402936,70,80.59971247040293
23.375,30,0,0.125,0.125,10,1.0467216064522902,70,80.4672160645229
23.5,30,0,0.125,0.125,10,1.033637586371637,70,80.33637586371637
23.625,30,0,0.125,0.125,10,1.0207171165419922,70,80.20717116541992
23.75,30,0,0.125,0.125,10,1.0079581525852177,70,80.07958152585218
23.875,30,0,0.125,0.125,10,0.9953586756779031,70,79.95358675677903
24.0,30,0,0.125,0.125,10,0.9829166922319288,70,79.82916692231929
24.125,30,0,0.125,0.125,10,0.9706302335790298,70,79.7063023357903
24.25,30,0,0.125,0.125,10,0.9584973556592914,70,79.58497355659291
24.375,30,0,0.125,0.125,10,0.9465161387135496,70,79.4651613871355
24.5,30,0,0.125,0.125,10,0.9346846869796295,70,79.3468468697963
24.625,30,0,0.125,0.125,10,0.9230011283923844,70,79.23001128392384
24.75,30,0,0.125,0.125,10,0.9114636142874801,70,79.1146361428748
24.875,30,0,0.125,0.125,10,0.900070319108886,70,79.00070319108886
25.0,30,0,0.125,0.125,10,0.8888194401200252,70,78.88819440120025
25.125,30,0,0.125,0.125,10,0.8777091971185242,70,78.77709197118524
25.25,30,0,0.125,0.125,10,0.8667378321545428,70,78.66737832154543
25.375,30,0,0.125,0.125,10,0.8559036092526113,70,78.55903609252611
25.5,30,0,0.125,0.125,10,0.845204814136953,70,78.45204814136953
25.625,30,0,0.125,0.125,10,0.8346397539602407,70,78.3463975396024
25.75,30,0,0.125,0.125,10,0.8242067570357378,70,78.24206757035738
25.875,30,0,0.125,0.125,10,0.8139041725727907,70,78.1390417257279
26.0,30,0,0.125,0.125,10,0.8037303704156301,70,78.0373037041563
26.125,30,0,0.125,0.125,10,0.7936837407854341,70,77.93683740785434
26.25,30,0,0.125,0.125,10,0.7837626940256157,70,77.83762694025616
26.375,30,0,0.125,0.125,10,0.7739656603502951,70,77.73965660350295
26.5,30,0,0.125,0.125,10,0.7642910895959162,70,77.64291089595916
26.625,30,0,0.125,0.125,10,0.7547374509759678,70,77.54737450975968
26.75,30,0,0.125,0.125,10,0.7453032328387679,70,77.45303232838768
26.875,30,0,0.125,0.125,10,0.7359869424282834,70,77.35986942428283
27.0,30,0,0.125,0.125,10,0.7267871056479294,70,77.2678710564793
27.125,30,0,0.125,0.125,10,0.717702266827331,70,77.17702266827331
27.25,30,0,0.125,0.125,10,0.708730988491989,70,77.08730988491989
27.375,30,0,0.125,0.125,10,0.699871851135839,70,76.99871851135839
27.5,30,0,0.125,0.125,10,0.6911234529966407,70,76.9112345299664
27.625,30,0,0.125,0.125,10,0.6824844098341828,70,76.82484409834183
27.75,30,0,0.125,0.125,10,0.6739533547112557,70,76.73953354711256
27.875,30,0,0.125,0.125,10,0.6655289377773655,70,76.65528937777366
28.0,30,0,0.125,0.125,10,0.6572098260551484,70,76.57209826055148
28.125,30,0,0.125,0.125,10,0.6489947032294594,70,76.4899470322946
28.25,30,0,0.125,0.125,10,0.6408822694390907,70,76.4088226943909
28.375,30,0,0.125,0.125,10,0.632871241071102,70,76.32871241071102
28.5,30,0,0.125,0.125,10,0.6249603505577127,70,76.24960350557713
28.625,30,0,0.125,0.125,10,0.6171483461757419,70,76.17148346175742
28.75,30,0,0.125,0.125,10,0.6094339918485445,70,76.09433991848545
28.875,30,0,0.125,0.125,10,0.6018160669504382,70,76.01816066950438
29.0,30,0,0.125,0.125,10,0.5942933661135583,70,75.94293366113558
29.125,30,0,0.125,0.125,10,0.5868646990371389,70,75.86864699037139
29.25,30,0,0.125,0.125,10,0.5795288902991743,70,75.79528890299174
29.375,30,0,0.125,0.125,10,0.572284779170434,70,75.72284779170434
29.5,30,0,0.125,0.125,10,0.5651312194308034,70,75.65131219430803
29.625,30,0,0.125,0.125,10,0.5580670791879185,70,75.58067079187919
29.75,30,0,0.125,0.125,10,0.5510912406980694,70,75.5109124069807
29.875,30,0,0.125,0.125,10,0.5442026001893439,70,75.44202600189344
30.0,30,0,0.125,0.125,10,0.537400067686977,70,75.37400067686977
